Notes offered by Prospectus (https://www.lendingclub.com/info/prospectus.action),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
,,20000,20000,20000, 60 months,17.19%,499.1,C,C5,Front desk supervisor,6 years,RENT,47000,Source Verified,Mar-19,Issued,n,,,debt_consolidation,Debt consolidation,958xx,CA,14.02,0,Sep-06,1,50,,15,0,10687,19.70%,53,w,20000,20000,0,0,0,0,0,0,0,,0,Apr-19,Apr-19,0,50,1,Individual,,,,0,0,31546,3,2,1,2,10,20859,97,4,9,5909,42,54300,6,1,3,11,2103,23647,30,0,0,150,100,1,1,0,5,,3,50,3,3,4,8,19,19,13,33,4,15,0,0,0,5,98,12.5,0,0,75824,31546,33800,21524,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,21225,21225,21225, 60 months,14.74%,502.05,C,C2,ceo,10+ years,MORTGAGE,225000,Not Verified,Mar-19,Issued,n,,,credit_card,Credit card refinancing,956xx,CA,16.8,0,Sep-94,2,,110,14,1,95868,87.70%,22,w,21225,21225,0,0,0,0,0,0,0,,0,Apr-19,Apr-19,0,,1,Individual,,,,0,0,694793,1,5,2,4,3,113558,76,0,1,17353,84,109300,1,0,4,5,49628,12635,76.4,0,0,126,294,24,3,4,30,,1,,0,4,6,4,4,11,7,7,6,14,0,0,0,2,100,50,1,0,747075,209426,53500,128175,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,5000,5000,5000, 36 months,17.97%,180.69,D,D1,,n/a,MORTGAGE,62000,Not Verified,Mar-19,Issued,n,,,home_improvement,Home improvement,320xx,FL,19.82,1,Nov-87,0,4,,8,0,7285,77.50%,18,w,5000,5000,0,0,0,0,0,0,0,,0,Apr-19,Apr-19,0,4,1,Individual,,,,0,0,206639,0,1,0,0,33,24330,,1,3,2318,78,9400,0,0,0,3,25830,2115,77.5,0,0,187,376,9,9,2,9,,,4,3,6,6,6,6,7,6,9,6,8,0,0,1,1,66.7,50,0,0,255738,31615,9400,39938,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,20000,20000,20000, 36 months,8.19%,628.49,A,A4,Executive Director of Guardian Advantage,1 year,MORTGAGE,200000,Not Verified,Mar-19,Issued,n,,,credit_card,Credit card refinancing,190xx,PA,22.66,1,Oct-01,0,18,,20,0,20984,32.10%,49,w,20000,20000,0,0,0,0,0,0,0,,0,Apr-19,Apr-19,0,48,1,Individual,,,,0,0,326678,2,5,1,3,4,63760,61,2,3,5097,50,64400,1,5,0,6,17194,30437,38.4,0,0,162,209,2,2,1,2,18,21,18,1,7,9,9,15,20,14,27,9,20,0,0,0,3,95.7,22.2,0,0,448069,84744,49400,105180,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,12000,12000,12000, 60 months,15.57%,289.09,C,C3,Computer Operator,5 years,MORTGAGE,49000,Source Verified,Mar-19,Issued,n,,,debt_consolidation,Debt consolidation,152xx,PA,13.47,0,Apr-93,0,38,,18,0,17672,48.20%,36,w,12000,12000,0,0,0,0,0,0,0,,0,Apr-19,Apr-19,0,38,1,Individual,,,,0,0,143079,2,4,0,0,51,88353,128,4,6,3587,100,36700,0,8,1,6,7949,14848,39.1,1,0,144,311,3,3,5,3,38,11,38,4,5,10,7,11,12,12,19,10,18,0,0,0,4,86.1,14.3,0,0,189260,106025,24400,68860,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,13500,13500,13500, 36 months,7.56%,420.31,A,A3,Security officer,8 years,RENT,34860,Not Verified,Mar-19,Issued,n,,,credit_card,Credit card refinancing,857xx,AZ,10.91,0,Oct-03,1,,,9,0,9932,24.70%,11,w,13500,13500,0,0,0,0,0,0,0,,0,Apr-19,Apr-19,0,,1,Individual,,,,0,0,9932,1,0,0,0,,0,,1,3,3777,25,40200,0,0,1,3,1104,16629,33.7,0,0,,185,1,1,0,22,,1,,0,5,6,5,7,0,9,11,6,9,0,0,0,1,100,0,0,0,40200,9932,25100,0,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,25000,25000,25000, 36 months,7.02%,772.16,A,A2,"Vice President, Trade Show",5 years,MORTGAGE,305000,Not Verified,Mar-19,Issued,n,,,debt_consolidation,Debt consolidation,600xx,IL,8.16,0,Oct-95,0,,,12,0,31360,36.90%,26,w,25000,25000,0,0,0,0,0,0,0,,0,Apr-19,Apr-19,0,,1,Individual,,,,0,0,726960,1,2,1,1,3,18796,48,1,1,11255,41,85000,1,0,3,3,60580,49640,38.7,0,0,106,232,12,3,4,28,,3,,0,4,4,5,9,5,8,16,4,12,0,0,0,2,100,0,0,0,840287,65339,81000,38858,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,10000,10000,10000, 60 months,12.40%,224.48,B,B4,,n/a,MORTGAGE,38000,Not Verified,Mar-19,Issued,n,,,credit_card,Credit card refinancing,306xx,GA,38.66,0,Feb-97,0,,,7,0,8334,49%,18,w,10000,10000,0,0,0,0,0,0,0,,0,Apr-19,Mar-19,0,,1,Individual,,,,0,0,134860,0,2,0,0,36,29189,37,0,0,6574,44,17000,0,0,0,0,19266,8666,49,0,0,170,265,37,33,4,112,,,,0,2,2,4,6,7,4,7,2,7,0,0,0,0,100,50,0,0,176439,37523,17000,57439,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,7000,7000,7000, 36 months,8.81%,221.98,A,A5,Administrative Assistant/Legal Secretary,6 years,MORTGAGE,50000,Verified,Mar-19,Issued,n,,,credit_card,Credit card refinancing,489xx,MI,15.75,0,Sep-01,0,29,,12,0,8559,21.40%,33,w,7000,7000,0,0,0,0,0,0,0,,0,Apr-19,Apr-19,0,29,1,Joint App,72000,21.77,Verified,0,0,33756,1,1,1,2,12,25197,86,3,6,7253,49,40000,1,5,2,9,2813,18951,28.2,0,0,66,210,3,3,4,3,35,12,35,8,2,5,5,12,6,11,23,5,12,0,0,0,4,72.7,20,0,0,69211,33756,26400,29211,22538,Jan-12,0,0,14,43.9,3,17,0,0,,N,,,,,,,,,,,,,,,N,,,,,,
,,24000,24000,24000, 60 months,12.40%,538.74,B,B4,Engineer,10+ years,MORTGAGE,124812,Verified,Mar-19,Issued,n,,,debt_consolidation,Debt consolidation,765xx,TX,20.11,1,Mar-06,1,21,,15,0,14615,35.60%,59,w,24000,24000,0,0,0,0,0,0,0,,0,Apr-19,Apr-19,0,21,1,Individual,,,,0,0,340258,0,3,1,3,12,76991,41,0,0,2694,36,41000,0,5,1,3,22684,13790,40.8,0,0,155,156,25,12,4,25,,1,,1,6,7,7,10,38,11,17,7,15,0,0,1,1,98.3,14.3,0,0,407438,91606,23300,103765,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,18500,18500,18500, 60 months,13.90%,429.51,C,C1,Social Worker,5 years,MORTGAGE,43000,Not Verified,Mar-19,Issued,n,,,debt_consolidation,Debt consolidation,113xx,NY,21.83,0,Feb-96,0,42,,17,0,13807,21.90%,31,w,18500,18500,0,0,0,0,0,0,0,,0,Apr-19,Apr-19,0,,1,Individual,,,,0,0,91356,0,2,0,1,13,32250,94,0,1,8781,47,63000,1,0,0,2,6090,35193,24.3,0,0,164,277,18,13,2,18,42,13,42,0,4,5,9,12,9,14,19,5,17,0,0,0,0,96.6,12.5,0,0,160555,46057,46500,34355,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,12000,12000,12000, 36 months,13.90%,409.55,C,C1,QC Manager,< 1 year,MORTGAGE,67500,Verified,Mar-19,Issued,n,,,debt_consolidation,Debt consolidation,853xx,AZ,22.61,0,Jan-02,1,,61,11,1,10795,39.70%,20,w,12000,12000,0,0,0,0,0,0,0,,0,Apr-19,Apr-19,0,,1,Joint App,145500,15.73,,0,50,331027,5,4,2,3,2,53747,82,2,3,6117,69,27200,1,0,3,7,30093,15105,41.7,0,0,205,72,5,2,3,5,,2,,0,4,4,5,7,9,6,8,4,11,0,0,0,5,100,0,1,0,361080,64542,25900,65880,15530,May-13,0,3,7,43,3,5,0,0,,N,,,,,,,,,,,,,,,N,,,,,,
,,3000,3000,3000, 36 months,14.74%,103.62,C,C2,Office Manager,4 years,MORTGAGE,58750,Verified,Mar-19,Issued,n,,,medical,Medical expenses,327xx,FL,30.91,0,Jun-04,0,24,,16,0,20502,60.10%,25,f,3000,3000,0,0,0,0,0,0,0,,0,Apr-19,Apr-19,0,,1,Individual,,,,0,0,37816,0,3,0,0,27,17314,48,0,0,3962,54,34100,0,1,0,0,2364,1208,89.4,0,0,177,164,35,27,4,40,24,,24,0,7,12,7,8,6,13,15,12,16,0,0,0,0,96,71.4,0,0,69911,37816,11400,35811,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,24000,24000,24000, 60 months,12.40%,538.74,B,B4,Electrical Engineer,5 years,MORTGAGE,80713,Not Verified,Mar-19,Issued,n,,,credit_card,Credit card refinancing,765xx,TX,38.58,0,Aug-05,0,,,15,0,32868,84.30%,20,w,24000,24000,0,0,0,0,0,0,0,,0,Apr-19,Apr-19,0,,1,Individual,,,,0,0,223716,0,9,0,1,24,40528,45,0,0,10309,57,39000,0,0,0,1,14914,6132,84.3,0,0,163,163,29,24,1,29,,,,0,5,5,5,5,14,5,5,5,15,0,0,0,0,100,80,0,0,289462,73396,39000,89924,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,12000,12000,12000, 36 months,16.40%,424.26,C,C4,Executive Director,4 years,MORTGAGE,95000,Not Verified,Mar-19,Issued,n,,,debt_consolidation,Debt consolidation,436xx,OH,29.5,0,Nov-92,0,29,,19,0,16619,64.90%,36,w,12000,12000,0,0,0,0,0,0,0,,0,Apr-19,Apr-19,0,30,1,Individual,,,,0,0,176551,1,5,2,5,7,35115,65,3,6,4899,65,25600,4,0,3,12,9292,3231,82.5,0,0,316,269,5,5,2,12,58,7,29,1,6,8,6,9,10,13,23,8,19,0,0,0,6,80.6,66.7,0,0,209488,51734,18500,54263,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,10000,10000,10000, 36 months,8.19%,314.25,A,A4,Executive Assistant,10+ years,RENT,72000,Not Verified,Mar-19,Issued,n,,,debt_consolidation,Debt consolidation,481xx,MI,23.9,0,Aug-06,0,,,11,0,9902,20.40%,21,w,10000,10000,0,0,0,0,0,0,0,,0,Apr-19,Apr-19,0,,1,Individual,,,,0,0,13224,0,3,0,0,30,3322,9,0,2,4743,16,48600,0,0,1,2,1202,16598,37.4,0,0,151,77,20,20,3,20,,0,,0,3,3,4,6,7,8,11,3,11,0,0,0,0,100,50,0,0,85158,13224,26500,36558,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,4000,4000,4000, 36 months,14.74%,138.16,C,C2,Case Packer,5 years,MORTGAGE,50000,Source Verified,Mar-19,Issued,n,,,debt_consolidation,Debt consolidation,494xx,MI,15.6,0,May-10,1,,,9,0,8404,57.60%,19,w,4000,4000,0,0,0,0,0,0,0,,0,Apr-19,Apr-19,0,,1,Individual,,,,0,0,167586,2,2,0,1,17,10299,57,2,4,2378,57,14600,1,5,1,5,18621,221,95.1,0,0,102,106,3,3,1,34,,4,,0,2,5,2,5,5,6,13,5,9,0,0,0,2,100,100,0,0,188978,18703,4500,18208,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,30000,30000,30000, 36 months,8.81%,951.35,A,A5,Chief Executive Officer,1 year,MORTGAGE,112000,Not Verified,Mar-19,Issued,n,,,debt_consolidation,Debt consolidation,296xx,SC,13.59,0,Jul-02,0,,,11,0,18350,35.60%,15,w,30000,30000,0,0,0,0,0,0,0,,0,Apr-19,Apr-19,0,,1,Individual,,,,0,0,221645,1,5,1,1,3,50667,85,1,1,10499,62,51500,0,0,2,2,20150,22864,44.5,0,0,104,200,7,3,2,27,,0,,0,3,4,3,3,7,5,6,4,11,0,0,0,2,100,0,0,0,274968,69017,41200,59493,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,16000,16000,16000, 60 months,28.80%,505.93,D,D5,Station Agent ,10+ years,RENT,84000,Source Verified,Mar-19,Issued,n,,,debt_consolidation,Debt consolidation,183xx,PA,22.79,0,May-07,0,,107,10,1,13567,83.20%,16,w,16000,16000,0,0,0,0,0,0,0,,0,Apr-19,Apr-19,0,,1,Individual,,,,0,0,93945,0,6,1,3,7,80378,86,1,1,925,85,16300,2,3,1,4,9395,1075,46.3,0,0,89,82,9,7,1,62,,7,,0,1,4,1,2,8,4,7,4,10,0,0,0,2,100,0,1,0,109990,93945,2000,93690,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,10000,10000,10000, 36 months,20.00%,371.64,D,D2,Fresh,2 years,RENT,28000,Verified,Mar-19,Issued,n,,,debt_consolidation,Debt consolidation,211xx,MD,24.13,0,Nov-05,1,,69,9,1,3190,29.80%,29,w,10000,10000,0,0,0,0,0,0,0,,0,Apr-19,Apr-19,0,,1,Individual,,,,0,0,11197,4,3,2,4,3,8007,74,5,9,2572,52,10700,3,0,3,13,1244,4313,39.3,0,0,153,160,4,3,0,4,,6,,0,2,3,3,14,10,6,19,3,9,0,0,0,7,100,0,1,0,21489,11197,7100,10789,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,15000,15000,15000, 36 months,17.97%,542.07,D,D1,Administrative Assistant,5 years,MORTGAGE,58240,Verified,Mar-19,Issued,n,,,debt_consolidation,Debt consolidation,907xx,CA,38.53,1,Aug-05,0,8,,9,0,67035,66.40%,18,w,15000,15000,0,0,0,0,0,0,0,,0,Apr-19,Apr-19,0,8,1,Individual,,,,0,0,271606,0,2,1,3,7,34645,88,1,3,13753,78,116700,4,2,2,6,30178,12317,66.4,0,0,163,157,10,7,1,10,24,7,24,1,5,6,5,6,7,6,10,6,9,0,0,1,2,88.9,20,0,0,336009,101680,36700,39309,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,14400,14400,14400, 36 months,25.00%,572.55,D,D4,Assistant VP,10+ years,MORTGAGE,46340,Verified,Mar-19,Issued,n,,,other,Other,637xx,MO,49.96,2,Dec-03,0,4,,14,0,3430,87.90%,71,w,14400,14400,0,0,0,0,0,0,0,,0,Apr-19,Apr-19,0,,1,Joint App,85060,33.05,Verified,0,0,303616,1,5,2,4,8,34183,72,0,2,2336,78,3900,1,0,4,7,23355,267,92.6,0,0,133,183,14,5,5,32,23,5,4,0,3,4,3,12,38,5,22,4,14,0,0,0,3,94.4,100,0,0,322499,48758,3600,47604,27821,Dec-03,0,5,14,86.6,3,11,0,0,,N,,,,,,,,,,,,,,,N,,,,,,
,,24000,24000,24000, 36 months,8.19%,754.18,A,A4,Pilot,10+ years,MORTGAGE,329991,Not Verified,Mar-19,Issued,n,,,debt_consolidation,Debt consolidation,309xx,GA,20.7,0,Jul-95,0,,,21,0,45747,80%,39,w,24000,24000,0,0,0,0,0,0,0,,0,Apr-19,Apr-19,0,,1,Individual,,,,0,0,486641,0,11,2,7,9,93397,50,0,1,6922,57,58500,5,5,2,8,23173,12354,59.4,0,0,106,284,22,9,3,22,,9,,0,5,7,7,7,23,9,13,7,21,0,0,0,2,100,28.6,0,0,611066,139144,28500,187566,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,16000,16000,16000, 60 months,16.40%,392.5,C,C4,Hostler,6 years,MORTGAGE,65000,Source Verified,Mar-19,Issued,n,,,debt_consolidation,Debt consolidation,610xx,IL,9.66,0,Jul-07,3,,101,15,1,3217,6.80%,24,w,16000,16000,0,0,0,0,0,0,0,,0,May-19,Apr-19,0,,1,Individual,,,,0,5913,16668,1,1,0,1,17,13451,82,5,8,1278,26,47300,4,0,5,9,1111,34983,8.4,0,0,140,59,2,2,0,2,,1,,0,4,4,11,11,7,14,17,4,15,0,0,0,5,100,0,1,0,63800,16668,38200,16500,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,6500,6500,6500, 36 months,12.40%,217.14,B,B4,Portfolio Specialist,3 years,MORTGAGE,97000,Not Verified,Mar-19,Issued,n,,,debt_consolidation,Debt consolidation,765xx,TX,30.82,0,Jan-07,0,,,12,0,38324,83.70%,24,w,6500,6500,0,0,0,0,0,0,0,,0,Apr-19,Apr-19,0,,1,Individual,,,,0,0,445917,1,4,1,2,4,10263,47,0,1,15313,73,45800,0,5,0,3,37160,3166,90.8,0,0,134,106,20,4,2,36,,,,0,4,7,4,4,12,7,9,7,12,0,0,0,1,100,75,0,0,521565,48587,34400,58765,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,18500,18500,18500, 60 months,14.74%,437.6,C,C2,,n/a,MORTGAGE,43000,Verified,Mar-19,Issued,n,,,debt_consolidation,Debt consolidation,305xx,GA,19.73,0,Apr-96,1,,,7,0,5417,24%,27,w,18500,18500,0,0,0,0,0,0,0,,0,May-19,Apr-19,0,,1,Individual,,,,0,0,22602,1,3,1,2,6,17185,77,1,2,499,51,22600,0,11,1,4,3229,11501,4.2,0,0,275,75,7,6,0,7,,4,,0,1,2,2,3,20,4,7,2,7,0,0,0,2,100,0,0,0,44790,22602,12000,22190,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,12000,12000,12000, 36 months,8.81%,380.54,A,A5,Front Office ,2 years,MORTGAGE,170000,Not Verified,Mar-19,Issued,n,,,credit_card,Credit card refinancing,704xx,LA,16.47,1,Mar-93,1,19,81,13,1,24555,71%,29,w,12000,12000,0,0,0,0,0,0,0,,0,May-19,Apr-19,0,,1,Individual,,,,0,0,430741,1,3,0,3,16,79733,86,3,4,8857,79,34600,1,3,1,9,39158,6510,68.1,0,0,174,312,6,6,2,6,19,6,19,0,3,5,6,9,12,9,15,5,13,0,0,0,3,96.4,25,1,0,463172,104288,20400,93364,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,8400,8400,8400, 36 months,13.90%,286.69,C,C1,finance shared services specialist 2,10+ years,RENT,66000,Not Verified,Mar-19,Issued,n,,,debt_consolidation,Debt consolidation,331xx,FL,17.78,0,Feb-03,0,65,61,29,1,16937,13%,41,w,8400,8400,0,0,0,0,0,0,0,,0,Apr-19,Apr-19,0,,1,Individual,,,,0,0,23673,3,1,0,1,18,6736,56,4,14,4324,17,130100,2,0,1,15,816,23390,41.8,0,0,193,63,2,2,0,2,,11,,2,8,10,9,12,5,28,35,10,29,0,0,0,4,94.7,22.2,1,0,142100,23673,40200,12000,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,6000,6000,5975, 36 months,7.56%,186.81,A,A3,,n/a,MORTGAGE,33000,Source Verified,Mar-19,Issued,n,,,credit_card,Credit card refinancing,922xx,CA,17.89,0,Jul-96,0,66,,13,0,5176,43.50%,26,f,6000,5975,0,0,0,0,0,0,0,,0,May-19,Apr-19,0,66,1,Individual,,,,0,0,77163,0,0,0,0,107,0,,1,2,2311,44,11900,0,0,0,2,6430,4024,56.3,0,0,107,272,10,10,2,10,66,22,66,3,4,4,8,15,1,12,23,4,13,0,0,0,1,88.5,42.9,0,0,90155,5176,9200,0,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,3025,3025,3025, 36 months,17.19%,108.14,C,C5,Warehouse employee,3 years,RENT,30000,Source Verified,Mar-19,Issued,n,,,debt_consolidation,Debt consolidation,300xx,GA,11.88,0,Jul-05,0,27,,9,0,2885,43.70%,22,w,3025,3025,0,0,0,0,0,0,0,,0,Apr-19,Apr-19,0,82,1,Individual,,,,0,0,19021,0,3,0,1,16,16136,82,3,4,1530,72,6600,1,1,1,5,2378,59,97.6,0,0,164,149,7,7,3,9,,7,82,1,2,4,2,5,7,6,12,4,9,0,0,0,3,90.9,100,0,0,26381,19021,2500,19781,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,12000,12000,12000, 36 months,6.46%,367.57,A,A1,server,7 years,MORTGAGE,50000,Source Verified,Mar-19,Issued,n,,,debt_consolidation,Debt consolidation,982xx,WA,12.15,0,Jan-12,0,,,8,0,14960,35.30%,13,w,12000,12000,0,0,0,0,0,0,0,,0,Apr-19,Apr-19,0,,1,Individual,,,,0,0,156886,1,1,0,0,35,463,4,1,1,9841,28,42400,0,2,4,2,19611,20698,34.1,0,0,59,86,2,2,2,25,,9,,0,3,4,4,6,3,6,8,4,8,0,0,0,2,100,25,0,0,196741,15423,31400,12741,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,40000,40000,40000, 60 months,12.40%,897.89,B,B4,SVP,10+ years,MORTGAGE,515000,Source Verified,Mar-19,Issued,n,,,debt_consolidation,Debt consolidation,117xx,NY,18.19,0,Feb-93,1,,,24,0,130490,86.40%,49,w,40000,40000,0,0,0,0,0,0,0,,0,Apr-19,Apr-19,0,,1,Individual,,,,0,205,569565,3,6,2,3,4,72207,39,3,3,20896,67,151100,1,6,2,7,23732,4733,94.8,0,0,160,304,3,3,6,10,,0,,0,10,14,10,17,12,15,28,14,24,0,0,0,5,100,100,0,0,752911,204997,90800,144678,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,35000,35000,35000, 36 months,15.57%,1223.08,C,C3,Store Manager ,10+ years,RENT,122000,Verified,Mar-19,Issued,n,,,credit_card,Credit card refinancing,333xx,FL,22,1,Dec-09,0,20,,5,0,1441,24.40%,18,w,35000,35000,0,0,0,0,0,0,0,,0,Apr-19,Apr-19,0,20,1,Individual,,,,0,0,24471,0,3,0,0,26,23030,39,0,0,1441,37,5900,2,4,1,1,4894,159,90.1,0,0,108,111,52,24,0,85,,9,,1,1,1,1,3,10,2,7,1,5,0,0,1,0,94.4,100,0,0,65640,24471,1600,59740,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,6000,6000,6000, 36 months,20.00%,222.99,D,D2,mail and file clerk,10+ years,OWN,42000,Not Verified,Mar-19,Issued,n,,,other,Other,724xx,AR,18.74,0,Dec-87,1,,67,11,1,5938,33.40%,21,w,6000,6000,0,0,0,0,0,0,0,,0,Apr-19,Apr-19,0,,1,Individual,,,,0,0,26101,0,1,0,2,13,20163,87,1,5,2281,64,17800,12,0,1,7,2373,7890,34.8,0,0,100,47,10,10,1,10,,4,,0,4,7,5,5,9,10,10,7,11,0,0,0,1,100,20,1,0,41041,26101,12100,23241,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total amount funded in policy code 1: 1928448350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total amount funded in policy code 2: 799382986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
